t,x1_initial,x1,u
0.0,-25.0,-25.0,12.23216436121407
0.01,-25.0,-24.877451778504355,12.277479937915158
0.02,-25.0,-24.754450401241698,12.322795514616242
0.03,-25.0,-24.630995868212032,12.36811109131733
0.04,-25.0,-24.50708817941535,12.413426668018417
0.05,-25.0,-24.382727334851662,12.458742244719504
0.06,-25.0,-24.25791333452096,12.50405782142059
0.07,-25.0,-24.13264617842325,12.549373398121677
0.08,-25.0,-24.006990684805874,12.594688974822763
0.09,-25.0,-23.881244106374822,12.64000455152385
0.1,-25.0,-23.755452981635276,12.685320128224937
0.11,-25.0,-23.629628146311227,12.636270992170228
0.12,-25.0,-23.503779949871213,12.587221856115518
0.13,-25.0,-23.377918255528346,12.538172720060809
0.14,-25.0,-23.252052440240277,12.489123584006098
0.15,-25.0,-23.12619139470923,12.440074447951389
0.16,-25.0,-23.00034352338197,12.391025311896678
0.17,-25.0,-22.87451674444983,12.341976175841971
0.18,-25.0,-22.74871848984869,12.29292703978726
0.19,-25.0,-22.622955705259,12.24387790373255
0.2,-25.0,-22.497234850105748,12.19482876767784
0.21,-25.0,-22.371561897558493,12.233908848918285
0.22,-25.0,-22.245942334531346,12.272988930158732
0.23,-25.0,-22.120381161682975,12.312069011399178
0.24,-25.0,-21.994882893416598,12.351149092639623
0.25,-25.0,-21.869451557879998,12.39022917388007
0.26,-25.0,-21.744090696965515,12.429309255120515
0.27,-25.0,-21.61880336631004,12.46838933636096
0.28,-25.0,-21.493592135295017,12.50746941760141
0.29,-25.0,-21.36845908704646,12.546549498841852
0.3,-25.0,-21.243405818434923,12.585629580082298
0.31,-25.0,-21.11843344007553,12.551826767096447
0.32,-25.0,-20.993542576327958,12.51802395411059
0.33,-25.0,-20.868733365296432,12.484221141124737
0.34,-25.0,-20.744005458829744,12.450418328138882
0.35000000000000003,-25.0,-20.619358022521237,12.416615515153028
0.36,-25.0,-20.49478973570881,12.382812702167175
0.37,-25.0,-20.370298791474923,12.349009889181318
0.38,-25.0,-20.24588289664659,12.315207076195465
0.39,-25.0,-20.121539271795385,12.28140426320961
0.4,-25.0,-19.997264651237423,12.247601450223756
0.41000000000000003,-25.0,-19.8730552830334,12.25558841509107
0.42,-25.0,-19.748906928988543,12.263575379958388
0.43,-25.0,-19.624814864652656,12.271562344825705
0.44,-25.0,-19.50077387932009,12.279549309693019
0.45,-25.0,-19.376778276029754,12.287536274560335
0.46,-25.0,-19.25282187156511,12.295523239427649
0.47000000000000003,-25.0,-19.12889799645418,12.303510204294964
0.48,-25.0,-19.00499949496955,12.31149716916228
0.49,-25.0,-18.881118725128346,12.319484134029596
0.5,-25.0,-18.757247558692256,12.327471098896913
0.51,-25.0,-18.633377381167538,12.354295048009632
0.52,-25.0,-18.50949909180499,12.381118997122352
0.53,-25.0,-18.38560310359997,12.407942946235073
0.54,-25.0,-18.2616793432924,12.434766895347794
0.55,-25.0,-18.137717251366748,12.461590844460513
0.56,-25.0,-18.01370578205205,12.488414793573234
0.5700000000000001,-25.0,-17.889633403321884,12.515238742685954
0.58,-25.0,-17.7654880968944,12.542062691798677
0.59,-25.0,-17.641257358232288,12.568886640911396
0.6,-25.0,-17.516928196542814,12.595710590024115
0.61,-25.0,-17.39248713477778,12.635918240696567
0.62,-25.0,-17.267920209633566,12.676125891369015
0.63,-25.0,-17.14321297155108,12.716333542041463
0.64,-25.0,-17.018350484715818,12.756541192713916
0.65,-25.0,-16.893317327057808,12.796748843386364
0.66,-25.0,-16.768097590251653,12.836956494058812
0.67,-25.0,-16.642674879716495,12.877164144731262
0.68,-25.0,-16.517032314616042,12.917371795403712
0.6900000000000001,-25.0,-16.391152527858562,12.95757944607616
0.7000000000000001,-25.0,-16.265017666096874,12.99778709674861
0.71,-25.0,-16.138609389728348,12.942074348363434
0.72,-25.0,-16.01190887289492,12.886361599978256
0.73,-25.0,-15.884896803483084,12.830648851593075
0.74,-25.0,-15.757553383123877,12.7749361032079
0.75,-25.0,-15.630159289645935,12.71922335482272
0.76,-25.0,-15.503398769634423,12.663510606437542
0.77,-25.0,-15.377201037780114,12.607797858052367
0.78,-25.0,-15.251466699174516,12.552085109667187
0.79,-25.0,-15.126104529953823,12.496372361282008
0.8,-25.0,-15.001031477298898,12.44065961289683
0.81,-25.0,-14.87617265943529,12.455272889704103
0.8200000000000001,-25.0,-14.751461365633226,12.46988616651138
0.8300000000000001,-25.0,-14.62683905620761,12.484499443318654
0.84,-25.0,-14.502255362518024,12.499112720125927
0.85,-25.0,-14.377668086968729,12.513725996933202
0.86,-25.0,-14.253043203008666,12.528339273740476
0.87,-25.0,-14.128354855131454,12.542952550547751
0.88,-25.0,-14.003585358875391,12.557565827355027
0.89,-25.0,-13.878725200823453,12.5721791041623
0.9,-25.0,-13.753773038603297,12.586792380969575
0.91,-25.0,-13.628735700887255,12.567588969371068
0.92,-25.0,-13.50362818739234,12.548385557772562
0.93,-25.0,-13.378473668880247,12.529182146174053
0.9400000000000001,-25.0,-13.253303487157341,12.509978734575547
0.9500000000000001,-25.0,-13.128157155074671,12.490775322977038
0.96,-25.0,-13.003082356527969,12.471571911378533
0.97,-25.0,-12.878134946457639,12.452368499780025
0.98,-25.0,-12.753378950848763,12.433165088181518
0.99,-25.0,-12.628886566731106,12.41396167658301
1.0,-25.0,-12.504738162179112,12.394758264984503
0.0,-24.0,-24.0,4.996456686777852
0.01,-24.0,-23.941941272425478,6.615288828126844
0.02,-24.0,-23.867694223437464,8.234120969475835
0.03,-24.0,-23.77725885303596,9.852953110824828
0.04,-24.0,-23.670635161220968,11.471785252173822
0.05,-24.0,-23.550308730217917,13.090617393522814
0.06,-24.0,-23.428551312686825,14.709449534871803
0.07,-24.0,-23.306986744704574,16.328281676220797
0.08,-24.0,-23.18557467564369,17.94711381756979
0.09,-24.0,-23.064277642880292,19.565945958918782
0.1,-24.0,-22.943061071794116,21.184778100267774
0.11,-24.0,-22.821893275768478,19.79090405951964
0.12,-24.0,-22.70074545619031,18.39703001877151
0.13,-24.0,-22.57959170245014,17.00315597802338
0.14,-24.0,-22.458408991942093,15.609281937275243
0.15,-24.0,-22.337177190063898,14.215407896527115
0.16,-24.0,-22.215879050216877,12.82153385577898
0.17,-24.0,-22.094500213805965,11.427659815030848
0.18,-24.0,-21.973029210239687,10.033785774282716
0.19,-24.0,-21.851457456930174,8.639911733534584
0.2,-24.0,-21.729779259293153,7.24603769278645
0.21,-24.0,-21.60799181074795,7.767421161045611
0.22,-24.0,-21.4860951927175,8.288804629304773
0.23,-24.0,-21.364092374628328,8.810188097563936
0.24,-24.0,-21.241989213910564,9.331571565823097
0.25,-24.0,-21.119794455997944,9.852955034082258
0.26,-24.0,-20.997519734327792,10.374338502341422
0.27,-24.0,-20.875179570341043,10.895721970600583
0.28,-24.0,-20.752791373482225,11.417105438859746
0.29,-24.0,-20.630375441199476,11.938488907118906
0.3,-24.0,-20.507954958944516,12.459872375378067
0.31,-24.0,-20.385556000172688,12.385695281086608
0.32,-24.0,-20.263207526342917,12.311518186795146
0.33,-24.0,-20.140941386917742,12.237341092503685
0.34,-24.0,-20.01879231936329,12.163163998212221
0.35000000000000003,-24.0,-19.896797949149295,12.088986903920759
0.36,-24.0,-19.774998789749095,12.0148098096293
0.37,-24.0,-19.65343824263962,11.940632715337836
0.38,-24.0,-19.5321625973014,11.866455621046372
0.39,-24.0,-19.41122103121858,11.792278526754911
0.4,-24.0,-19.290665609878886,11.718101432463449
0.41000000000000003,-24.0,-19.170551286773655,11.73054801641275
0.42,-24.0,-19.05093590339782,11.74299460036205
0.43,-24.0,-18.93188018924992,11.755441184311351
0.44,-24.0,-18.81344776183209,11.767887768260652
0.45,-24.0,-18.69553730174482,11.780334352209952
0.46,-24.0,-18.57719463372278,11.792780936159254
0.47000000000000003,-24.0,-18.45832514312743,11.805227520108554
0.48,-24.0,-18.33900531226351,11.817674104057854
0.49,-24.0,-18.219307072610764,11.830120688007156
0.5,-24.0,-18.099297804823923,11.842567271956456
0.51,-24.0,-17.979040338732723,11.868018730684032
0.52,-24.0,-17.858592953341887,11.893470189411607
0.53,-24.0,-17.738009376831137,11.918921648139182
0.54,-24.0,-17.61733878655519,11.944373106866758
0.55,-24.0,-17.496625809043763,11.969824565594335
0.56,-24.0,-17.375910520001568,11.995276024321909
0.5700000000000001,-24.0,-17.255228444308308,12.020727483049482
0.58,-24.0,-17.134610556018686,12.046178941777058
0.59,-24.0,-17.014083278362396,12.071630400504635
0.6,-24.0,-16.893668483744133,12.097081859232208
0.61,-24.0,-16.773383493743584,12.043666410163395
0.62,-24.0,-16.65324107911544,11.990250961094576
0.63,-24.0,-16.533249459789374,11.93683551202576
0.64,-24.0,-16.413412304870068,11.883420062956944
0.65,-24.0,-16.293728732637195,11.83000461388813
0.66,-24.0,-16.17419331054542,11.776589164819313
0.67,-24.0,-16.054796055224408,11.723173715750496
0.68,-24.0,-15.935522432478816,11.669758266681681
0.6900000000000001,-24.0,-15.816353357288305,11.616342817612864
0.7000000000000001,-24.0,-15.697265193807524,11.562927368544049
0.71,-24.0,-15.57822975536612,11.671596641944324
0.72,-24.0,-15.459214304468736,11.780265915344604
0.73,-24.0,-15.340181552795011,11.888935188744881
0.74,-24.0,-15.22108966119958,11.997604462145157
0.75,-24.0,-15.101892239712074,12.106273735545438
0.76,-24.0,-14.982538347537119,12.214943008945713
0.77,-24.0,-14.862972493054336,12.32361228234599
0.78,-24.0,-14.743134633818345,12.43228155574627
0.79,-24.0,-14.62296017655876,12.540950829146547
0.8,-24.0,-14.50237997718019,12.649620102546825
0.81,-24.0,-14.381320340762239,12.591675881907607
0.8200000000000001,-24.0,-14.259703021559513,12.53373166126839
0.8300000000000001,-24.0,-14.137445223001603,12.475787440629174
0.84,-24.0,-14.014459597693106,12.417843219989958
0.85,-24.0,-13.890820884335774,12.359898999350738
0.86,-24.0,-13.76770762216077,12.301954778711522
0.87,-24.0,-13.645266021110558,12.244010558072306
0.88,-24.0,-13.5233817163795,12.186066337433088
0.89,-24.0,-13.401952509946515,12.128122116793872
0.9,-24.0,-13.280888370575076,12.070177896154654
0.91,-24.0,-13.160111433813206,12.059239536614838
0.92,-24.0,-13.039556001993484,12.048301177075018
0.93,-24.0,-12.919168544233038,12.0373628175352
0.9400000000000001,-24.0,-12.798907696433556,12.026424457995383
0.9500000000000001,-24.0,-12.678744261281272,12.015486098455565
0.96,-24.0,-12.558661208246978,12.004547738915749
0.97,-24.0,-12.438653673586014,11.993609379375929
0.98,-24.0,-12.31872896033828,11.982671019836111
